ISSN,Título,Estrato
1023-621X,International Journal of Rotating Machinery (Print),B2
2221-8386,International Journal of Science and Advanced Technology,C 
1013-7866,International Journal of Sediment Research,B2
1744-2370,International Journal of Services and Operations Management (Print),B2
0020-7683,International Journal of Solids and Structures,A1
1947-8569,International Journal of Strategic Decision Sciences,B4
0219-4554,International Journal of Structural Stability and Dynamics,B1
1749-785X,International Journal of Surface Science and Engineering (Print),B2
1467-6370,International Journal of Sustainability in Higher Education,A2
1743-7601,International Journal of Sustainable Development and Planning: encouraging the unified approach to achieve sustainability,B3
1350-4509,International Journal of Sustainable Development and World Ecology,B1
1556-8318,International Journal of Sustainable Transportation,B1
0020-7721,International Journal of Systems Science,A2
1290-0729,International Journal of Thermal Sciences,A1
2146-1511,International Journal of Thermodynamics,B4
0218-2130,International Journal on Artificial Intelligence Tools,B2
0268-3768,"International Journal, Advanced Manufacturing Technology",B1
2315-5663,"International Research Journal of Engineering Science, Technology and Innovation",C 
1450-2887,International Research Journal of Finance and Economics,C 
2306-9007,International Review of Management and Business Research,C 
1970-8742,International Review of Mechanical Engineering,B2
1970-8734,International Review of Mechanical Engineering (Testo Stampato),B2
0969-6016,International Transactions in Operational Research,B1
0329-3475,Invenio (Rosario),B5
0266-5611,Inverse Problems (Print),A1
1741-5977,Inverse Problems in Science & Engineering (Print),B1
1741-5985,Inverse Problems in Science and Engineering (Online),B1
0342-7188,Irrigation Science,A1
1828-051X,Italian Journal of Animal Science (Online),B1
2291-9694,JMIR Medical Informatics,B4
0973-5763,JP Journal of Heat and Mass Transfer,B3
0254-6051,Jinshu Rèchuli / Heat Treatment of Metals (Beijing),B3
1806-3713,Jornal Brasileiro de Pneumologia (Impresso),B1
1269-6935,Journal Européen des Systèmes Automatisés,B3
0169-4243,Journal of Adhesion Science and Technology (Print),B1
0197-6729,Journal of Advanced Transportation,A2
2175-9146,Journal of Aerospace Technology and Management (Online),B2
1306-0007,Journal of Agricultural Machinery Science,B5
1916-9760,Journal of Agricultural Science,C 
1939-1250,Journal of Agricultural Science and Technology (USA. Print),C 
0969-6997,Journal of Air Transport Management,B1
0021-8669,Journal of Aircraft (Print),B1
1750-1938,Journal of Airport Management,B4
0925-8388,Journal of Alloys and Compounds,A2
2318-1265,Journal of Animal Behaviour and Biometeorology,B5
2168-9679,Journal of Applied & Computational Mathematics,C 
0021-891X,Journal of Applied Electrochemistry,B1
0926-9851,Journal of Applied Geophysics,B1
1570-8683,Journal of Applied Logic,B1
1110-757X,Journal of Applied Mathematics,B1
0021-8928,Journal of Applied Mathematics and Mechanics,B2
0021-8979,Journal of Applied Physics,A2
1665-6423,Journal of Applied Research and Technology,B2
0266-4763,Journal of Applied Statistics,B1
1360-0532,Journal of Applied Statistics,B1
1556-6560,Journal of Biobased Materials and Bioenergy,B2
0739-1102,Journal of Biomolecular Structure & Dynamics,B1
0167-4544,Journal of Business Ethics,A2
0148-2963,Journal of Business Research,B1
0021-9509,Journal of Cardiovascular Surgery (Testo stampato),B1
0021-9533,Journal of Cell Science,A2
0021-9614,Journal of Chemical Thermodynamics,A2
1934-7375,Journal of Chemistry and Chemical Engineering,C 
0959-6526,Journal of Cleaner Production,A1
0021-9797,Journal of Colloid and Interface Science (Print),A2
1382-6905,Journal of Combinatorial Optimization,B1
1980-6604,Journal of Communication and Information Systems (Online),B4
0021-9983,Journal of Composite Materials,A1
1983-8409,Journal of Computational Interdisciplinary Sciences,B4
0021-9991,Journal of Computational Physics (Print),A1
1877-7503,Journal of Computational Science,B1
1555-1423,Journal of Computational and Nonlinear Dynamics (Online),B1
1666-6038,Journal of Computer Science and Technology (La Plata. En línea),B4
0143-974X,Journal of Constructional Steel Research,A2
2195-3899,"Journal of Control, Automation and Electrical Systems",B3
1475-7516,Journal of Cosmology and Astroparticle Physics,A1
1010-5182,Journal of Cranio-Maxillo-Facial Surgery,A1
0022-0248,Journal of Crystal Growth,A2
1683-8602,Journal of Data Science (Online),B4
0022-0345,Journal of Dental Research,A1
0920-5071,Journal of Electromagnetic Waves and Applications (Print),B1
0361-5235,Journal of Electronic Materials,B1
1043-7398,Journal of Electronic Packaging,B1
2035-9969,Journal of Endometriosis,B2
0195-0738,Journal of Energy Resources Technology,B1
1934-8975,Journal of Energy and Power Engineering,C 
1823-4690,Journal of Engineering Science & Technology,B3
0923-4748,Journal of Engineering and Technology Management,A1
0742-4795,Journal of Engineering for Gas Turbines and Power,B1
1464-3332,Journal of Environmental Assessment Policy and Management,B2
2213-3437,Journal of Environmental Chemical Engineering,B4
2152-2197,Journal of Environmental Protection (Print),C 
2277-0704,Journal of Environmental Science and Water Resources,C 
0737-0806,Journal of Equine Veterinary Science (Print),B1
0022-1120,Journal of Fluid Mechanics (Print),A1
0889-9746,Journal of Fluids and Structures,A1
1095-8622,Journal of Fluids and Structures (Online),A1
0260-8774,Journal of Food Engineering,A1
0022-1147,Journal of Food Science,A2
0022-1155,Journal of Food Science and Technology,A2
0022-1198,Journal of Forensic Sciences,B1
1742-2132,Journal of Geophysics and Engineering (Print),B1
0925-5001,Journal of Global Optimization,A2
0304-3894,Journal of Hazardous Materials (Print),A1
2175-4411,Journal of Health Informatics,B5
2317-3084,Journal of Health and Biological Sciences,B4
0022-1481,Journal of Heat Transfer,A1
0733-9429,"Journal of Hydraulic Engineering (New York, N. Y.)",A2
1001-6058,Journal of Hydrodynamics,B1
1226-086X,Journal of Industrial and Engineering Chemistry - Korean Society of Industrial and Engineering Chemistry,A2
1748-0221,Journal of Instrumentation,B1
1092-0617,Journal of Integrated Design & Process Science,B3
0921-0296,Journal of Intelligent & Robotic Systems,B1
0956-5515,Journal of Intelligent Manufacturing,B1
1045-389X,Journal of Intelligent Material Systems and Structures (Print),A2
1544-8037,Journal of International Business and Economics,B4
0928-0219,Journal of Inverse and Ill-Posed Problems (Print),B1
1367-3270,Journal of Knowledge Management,A2
0022-2313,Journal of Luminescence,A2
0304-8853,Journal of Magnetism and Magnetic Materials,A2
1941-899X,Journal of Management Research,C 
0161-4754,Journal of Manipulative and Physiological Therapeutics,B1
1087-1357,Journal of Manufacturing Science and Engineering,B1
1741-038X,Journal of Manufacturing Technology Management,B2
1671-9433,Journal of Marine Science and Application,B2
1059-9495,Journal of Materials Engineering and Performance (Print),B1
0924-0136,Journal of Materials Processing Technology,A2
2238-7854,Journal of Materials Research and Technology,B4
0022-2461,Journal of Materials Science,A1
1005-0302,Journal of Materials Science & Technology,A2
0957-4522,Journal of Materials Science. Materials in Electronics,B1
0957-4530,Journal of Materials Science. Materials in Medicine,B1
1573-4838,Journal of Materials Science. Materials in Medicine (Dordrecht. Online),B1
0022-2488,Journal of Mathematical Physics,B1
2163-2405,Journal of Mechanical Engineering and Automation (print),C 
1738-494X,Journal of Mechanical Science and Technology (Seoul. Print),B1
1727-7191,Journal of Mechanics (Print),B2
2159-5275,Journal of Mechanics Engineering and Automation,C 
2156-7018,Journal of Medical Imaging and Health Informatics,B2
0376-7388,Journal of Membrane Science (Print),A1
0022-2720,Journal of Microscopy (Print),A2
1548-6583,Journal of Modern Accounting and Auditing,B5
1538-9472,Journal of Modern Applied Statistical Methods,B2
2153-1196,Journal of Modern Physics,C 
1610-2940,Journal of Molecular Modeling (Print),B1
1661-9897,Journal of Nano Research (Online),B2
1687-4110,Journal of Nanomaterials (Print),B1
1388-0764,Journal of Nanoparticle Research,A2
1533-4880,Journal of Nanoscience and Nanotechnology (Print),B1
1875-5100,Journal of Natural Gas Science and Engineering,B1
1477-5751,Journal of Negative Results In Biomedicine,B2
0022-3093,Journal of Non-Crystalline Solids,A1
0377-0257,Journal of Non-Newtonian Fluid Mechanics (Print),A1
0195-9298,Journal of Nondestructive Evaluation,A2
0892-7219,Journal of Offshore Mechanics and Arctic Engineering,B1
0743-7315,Journal of Parallel and Distributed Computing (Print),A2
0920-4105,Journal of Petroleum Science & Engineering,B1
1011-1344,"Journal of Photochemistry and Photobiology. B, Biology",B1
0915-5287,Journal of Physical Therapy Science,B2
1742-6596,Journal of Physics. Conference Series (Online),C 
1742-6588,Journal of Physics. Conference Series (Print),C 
0954-3899,"Journal of Physics. G, Nuclear and Particle Physics",A2
1091-028X,Journal of Porous Media,B1
0378-7753,Journal of Power Sources (Print),A1
0094-9930,Journal of Pressure Vessel Technology,B2
0959-1524,Journal of Process Control,A2
0748-4658,Journal of Propulsion and Power (Print),A2
1059-941X,Journal of Prosthodontics (Print),B1
1355-2511,Journal of Quality in Maintenance Engineering,B2
0731-6844,Journal of Reinforced Plastics and Composites (Print),B1
0148-6055,"Journal of Rheology (New York, N.Y.)",A1
0022-4456,Journal of Scientific & Industrial Research (1963),B1
1747-7778,Journal of Simulation (Print),B2
1945-3116,Journal of Software Engineering and Applications (print),C 
1439-0108,Journal of Soils and Sediments (Print),B1
0928-0707,Journal of Sol-Gel Science and Technology,A1
0199-6231,Journal of Solar Energy Engineering,B1
0022-460X,Journal of Sound and Vibration,A1
0895-9811,Journal of South American Earth Sciences,B1
1742-5468,Journal of Statistical Mechanics,A2
0309-3247,Journal of Strain Analysis for Engineering Design,A2
0733-9445,"Journal of Structural Engineering (New York, N.Y.)",A1
1557-1939,Journal of Superconductivity and Novel Magnetism,B1
1009-6124,Journal of Systems Science and Complexity,B2
0718-2724,Journal of Technology Management & Innovation,B2
0090-3973,Journal of Testing and Evaluation,B1
1678-4804,Journal of The Brazilian Computer Society (Online),B3
1429-2955,Journal of Theoretical and Applied Mechanics (Warsaw),B1
1388-6150,Journal of Thermal Analysis and Calorimetry,B1
1948-5085,Journal of Thermal Science and Engineering Applications,B2
1059-9630,Journal of Thermal Spray Technology (Print),B1
0887-8722,Journal of Thermophysics and Heat Transfer,B1
0892-7057,Journal of Thermoplastic Composite Materials,A2
2238-1031,Journal of Transport Literature,B4
0742-4787,Journal of Tribology,B1
1982-3932,Journal of Urban and Environmental Engineering (UFPB),B3
2166-2746,Journal of Vacuum Science &amp; Technology B: Microelectronics and Nanometer Structures,B4
2251-7685,Journal of Veterinary Advances,C 
1048-9002,Journal of Vibration and Acoustics,B1
1077-5463,Journal of Vibration and Control,A1
0733-950X,"Journal of Waterway, Port, Coastal, and Ocean Engineering",B1
0167-6105,Journal of Wind Engineering and Industrial Aerodynamics (Print),A2
1754-9957,Journal of World Energy Law and Business (Print),B2
2050-7526,Journal of materials chemistry.,C 
1096-2247,Journal of the Air & Waste Management Association (1995),B1
1558-9331,Journal of the American Oil Chemists' Society (Online),A2
8750-7315,Journal of the American Podiatric Medical Association (Print),B1
2330-1643,Journal of the Association for Information Science and Technology,B4
0022-4928,Journal of the Atmospheric Sciences,A1
1808-3331,Journal of the Brazilian Air Transportation Research Society,B4
0103-5053,Journal of the Brazilian Chemical Society (Impresso),B1
1678-5878,Journal of the Brazilian Society of Mechanical Sciences and Engineering (Impresso),B2
0013-4651,Journal of the Electrochemical Society,A1
0955-2219,Journal of the European Ceramic Society,A1
1870-249X,Journal of the Mexican Chemical Society.,B2
0160-5682,Journal of the Operational Research Society,B1
0740-3224,"Journal of the Optical Society of America. B, Optical Physics",A2
1875-0931,Journal on Chain and Network Science (Online),B2
1383-469X,Journal on Special Topics in Mobile Networks and Applications,A2
0932-3902,Kerntechnik (1987),B2
1013-9826,Key Engineering Materials,B3
1662-9795,Key Engineering Materials (Online),B3
1092-4604,Knowledge and Process Management (Print),B2
0950-7051,Knowledge-Based Systems,A1
0954-0075,LUBR SCI,B1
0031-4773,La Pensée (Paris),B2
1054-660X,Laser Physics,B1
0268-8921,Lasers in Medical Science,A2
1435-604X,Lasers in Medical Science (Internet),A2
0327-0793,Latin American Applied Research,B2
1097-8526,"Latin American Business Review (Binghamton, N.Y.)",B3
1679-7817,Latin American Journal of Solids and Structures (Impresso),B1
0094-582X,Latin American Perspectives,B1
1571-9537,Law and Business Review of the Americas,B4
0023-6438,Lebensmittel-Wissenschaft + Technologie / Food Science + Technology,A1
1514-3465,Lecturas Educación Física y Deportes (Buenos Aires),B5
1865-1356,Lecture Notes in Business Information Processing,C 
0302-9743,Lecture Notes in Computer Science,C 
0024-3795,Linear Algebra and its Applications,A2
1647-0818,Linguamática (Braga),B5
2236-6660,Linkania Master,B5
2159-6859,MRS Communications,B4
1946-4274,MRS Proceedings,C 
0749-1581,Magnetic Resonance in Chemistry,B1
1477-7835,Management of Environmental Quality,B2
0025-2700,Maquinas e Metais,B5
0141-1136,Marine Environmental Research,A2
0149-0419,Marine Geodesy,B1
0025-3227,Marine Geology (Print),A2
0025-326X,Marine Pollution Bulletin.,A1
1679-396X,Marine Systems & Ocean Technology,B4
0025-3324,Marine Technology Society Journal,B1
1479-2931,Maritime Economics & Logistics (Print),B1
0103-9059,Matematica Contemporanea,B5
2318-0552,Matemática e Estatística em Foco,B5
0264-1275,Materials & Design,B4
1996-1944,Materials (Basel),B1
1044-5803,Materials Characterization,A1
0254-0584,Materials Chemistry and Physics,A2
0025-5327,Materials Evaluation,B2
0167-577X,Materials Letters (General ed.),A2
2165-3992,Materials Performance and Characterization,B4
1516-1439,Materials Research (São Carlos. Impresso),B2
0025-5408,Materials Research Bulletin,A2
0921-5093,"Materials Science & Engineering. A, Structural Materials: Properties, Microstructure and Processing",A2
0921-5107,"Materials Science & Engineering. B, Solid-State Materials for Advanced Technology",A2
0928-4931,"Materials Science & Engineering. C, Biomimetic Materials, Sensors and Systems (Print)",B1
1392-1320,Materials Science (Kaunas University of Technology),B2
0255-5476,Materials Science Forum,B5
1662-9752,Materials Science Forum (Online),B5
0267-0836,Materials Science and Technology,B1
1369-8001,Materials Science in Semiconductor Processing,B1
2153-117X,Materials Sciences and Applications (Print),B4
0947-5117,Materials and Corrosion (1995),A2
1042-6914,Materials and Manufacturing Processes,B1
1359-5997,Materials and Structures,A2
0933-5137,Materialwissenschaft und Werkstofftechnik,B2
1563-5147,Mathematical Problems in Engineering (Online),B1
1024-123X,Mathematical Problems in Engineering (Print),B1
0165-4896,Mathematical Social Sciences,B1
2041-3165,"Mathematics in Engineering, Science and Aerospace: the transdisciplinary international journal",B4
1517-7076,Matéria (UFRJ),B3
0263-2241,Measurement (London. Print),B1
0957-0233,Measurement Science & Technology (Print),B1
1676-0972,Mecatrônica Atual,B5
0025-6455,Meccanica (Milano. Print),A2
0888-3270,Mechanical Systems and Signal Processing,A1
0094-114X,Mechanism and Machine Theory,A2
0957-4158,Mechatronics (Oxford),A2
1666-6070,Mecánica Computacional,B5
1984-2201,Mercator (Fortaleza. Online),B4
2192-9262,"Metallography, Microstructure, and Analysis",B2
1756-5901,Metallomics (Print),B1
1073-5623,"Metallurgical and Materials Transactions. A, Physical Metallurgy and Materials Science",A1
1073-5615,"Metallurgical and Materials Transactions. B, Process Metallurgy and Materials Processing Science",A2
1598-9623,Metals and Materials International,B1
1681-7575,Metrologia (Online),A2
0874-3738,Metálica,B5
0026-265X,Microchemical Journal (Print),A2
0026-2714,Microelectronics and Reliability,B1
0938-0108,"Microgravity, Science and Technology (Print)",B1
1431-9276,Microscopy and Microanalysis (Print),A2
0946-7076,Microsystem Technologies,B1
1980-5411,Midia Virtual do I.B.S.,C 
1875-905X,Mobile Information Systems,B4
1982-615X,Modapalavra E-periódico,B5
1687-5591,Modelling and Simulation in Engineering,B3
2152-7261,Modern Economy,B4
0166-6851,Molecular and Biochemical Parasitology (Print),B1
1420-3049,Molecules (Basel. Online),B1
0035-8711,Monthly Notices of the Royal Astronomical Society (Print),A1
0885-3185,Movement Disorders,A1
0923-6082,Multidimensional Systems and Signal Processing,A2
1354-5825,Museological Review,B4
1931-5775,NCSL International Measure: the journal of measurement science,C 
0963-8695,NDT & E International,A1
1556-7265,Nanoscale and Microscale Thermophysical Engineering,B1
1873-0604,Near Surface Geophysics (Online),B1
1566-113X,Networks and Spatial Economics,A2
0941-0643,Neural Computing & Applications (Print),B1
0925-2312,Neurocomputing (Amsterdam),A2
1468-1218,Nonlinear Analysis: Real World Applications,A1
0924-090X,Nonlinear Dynamics,A1
1607-7946,Nonlinear Processes in Geophysics (Online),B2
0101-3300,Novos Estudos CEBRAP (Impresso),B2
0090-3752,"Nuclear Data Sheets (New York, N.Y.)",A1
0029-5515,Nuclear Fusion,A1
0168-9002,"Nuclear Instruments & Methods in Physics Research. Section A, Accelerators, Spectrometers, Detectors and Associated Equipment (Print)",B1
0168-583X,"Nuclear Instruments & Methods in Physics Research. Section B, Beam Interactions with Materials and Atoms (Print)",B1
1040-7782,"Numerical Heat Transfer. Part A, Applications",A2
2316-7874,Nutrire - Revista da Sociedade Brasileira de Alimentação e Nutrição,B4
0104-7809,O Mundo da Saúde (CUSC. Impresso),B3
1616-7341,Ocean Dynamics (Print),B1
0029-8018,Ocean Engineering,B1
1294-4475,Oil & Gas Science and Technology,B1
0305-0483,Omega (Oxford),A1
2327-5952,Open Journal of Social Sciences,C 
0163-5980,Operating Systems Review,B2
0091-3286,Optical Engineering (Bellingham. Print),B1
0925-3467,Optical Materials (Amsterdam. Print),A2
1094-4087,Optics Express,A1
0030-400X,Optics and Spectroscopy (Print),B1
1099-1514,Optimal Control Applications and Methods,B2
1862-4472,Optimization Letters (Print),B1
1389-4420,Optimization and Engineering (Print),B1
1566-1199,Organic Electronics (Print),A1
2238-6890,Organizações Rurais & Agroindustriais,B4
0209-4541,Oxidation Communications,B2
1679-0944,P@ranoá (UnB),B5
1980-6809,PARC : Pesquisa em Arquitetura e Construção,B5
1463-9076,PCCP. Physical Chemistry Chemical Physics (Print),A2
1676-0220,PCH Notícias & SHP News,B5
1553-7374,PLoS Pathogens (Online),A1
1982-6109,Paidéi@ (Santos),B5
2318-9215,Paralaxe,B5
1756-3305,Parasites & Vectors,A2
0031-1820,Parasitology (London. Print),A2
0932-0113,Parasitology Research (1987. Print),A2
1413-9375,Parcerias Estratégicas (Impresso),B5
1695-7121,Pasos (El Sauzal),B4
1390-843X,Patria. Análisis Político de la Defensa,B5
0167-8655,Pattern Recognition Letters,B1
2318-857X,Pauta Geral - Estudos em Jornalismo,B5
0164-1263,Pediatric Dentistry,B2
2187-1191,Peerspectives,B5
1415-5109,Pensamento & Realidade,B5
2316-7521,Percurso (Curitiba),B5
1981-5344,Perspectivas em Ciência da Informação (Online),B3
2236-417X,Perspectivas em Gestao & Conhecimiento,B5
2236-885X,Perspectivas online: exatas e engenharias,B5
2236-8876,Perspectivas online: humanas e sociais aplicadas,B5
1940-7491,Perspectives on Voice and Voice Disorders,B4
1414-8595,Pesquisa Naval (SDM),B5
0101-7438,Pesquisa Operacional (Impresso),B2
1984-3534,Pesquisa Operacional para o Desenvolvimento,B4
0100-736X,Pesquisa Veterinária Brasileira (Impresso),B1
1807-9806,Pesquisas em Geociências (Online),B3
1518-2398,Pesquisas em Geociências (UFRGS. Impresso),B3
0101-5397,Petro & Química,B5
1091-6466,Petroleum Science and Technology,B2
1980-6310,"Petróleo, Royalties e Região",B5
0031-8655,Photochemistry and Photobiology,B1
1569-4410,Photonics and Nanostructures (Print),B1
0031-8949,Physica Scripta (Print),B1
0370-1972,"Physica Status Solidi. B, Basic Research",B1
0378-4371,Physica. A (Print),A2
0921-4526,"Physica. B, Condensed Matter (Print)",B1
0921-4534,"Physica. C, Superconductivity (Print)",B1
1386-9477,"Physica. E, Low-Dimensional Systems and Nanostructures (Print)",B1
1098-0121,"Physical Review. B, Condensed Matter and Materials Physics",A1
0556-2813,Physical Review. C. Nuclear Physics (Print),A1
1550-7998,"Physical Review. D, Particles, Fields, Gravitation, and Cosmology",A1
1550-2368,"Physical Review. D. Particles, Fields, Gravitation, and Cosmology (Online)",B2
1539-3755,"Physical Review. E, Statistical, Nonlinear, and Soft Matter Physics (Print)",A2
0370-2693,Physics Letters. B (Print),A1
1875-3892,Physics Procedia,B2
1070-664X,Physics of Plasmas,A2
1532-5040,Physiotherapy Theory and Practice,B2
0032-0862,Plant Pathology (Print),A1
1557-1955,"Plasmonics (Norwell, Mass.)",B1
1932-6203,Plos One,A1
1808-3528,Plástico Industrial,B5
2316-932X,"Podium: sport, leisure and tourism review",B5
1809-8169,Politécnica (Instituto Politécnico da Bahia),B5
0272-8397,Polymer Composites,B1
0142-9418,Polymer Testing,A2
0967-3911,Polymers & Polymer Composites,B2
0104-1428,Polímeros (São Carlos. Impresso),B1
1678-5169,Polímeros (São Carlos. Online),B1
1518-7446,Política Democrática,B5
1518-6660,Política Externa (USP),B5
0141-6359,Precision Engineering,B1
1984-6983,Pretexto (Belo Horizonte. Online),B4
2212-8271,Procedia CIRP,C 
1877-0509,Procedia Computer Science,C 
1877-7058,Procedia Engineering,B2
1877-0428,Procedia: Social and Behavioral Sciences,C 
1617-7061,Proceedings in Applied Mathematics and Mechanics,B4
1751-7710,Proceedings of ICE. Transport (Online),B2
2317-3173,"Proceedings of Safety, Health and Environment World Congress",C 
1540-7489,Proceedings of the Combustion Institute,A1
1350-6501,"Proceedings of the Institution of Mechanical Engineers, Part J, Journal of Engineering Tribology",B1
0954-4054,"Proceedings of the Institution of Mechanical Engineers. Part B, Journal of Engineering Manufacture",B1
1748-006X,"Proceedings of the Institution of Mechanical Engineers. Part O, Journal of risk and reliability (Print)",B1
1464-4207,"Proceedings of the Institution of Mechanical Engineers. Proceedings Part L, Journal of Materials: Design and Applications",B1
1820-6131,Processing and Application of Ceramics,B4
1676-4056,Product (IGDP),B4
0944-6524,Production Engineering,B2
0953-7287,Production Planning & Control (Print),B1
1059-1478,Production and Operations Management,A2
1516-3660,Produto & Produção (Impresso),B4
1983-8026,Produto & Produção (Online),B4
1983-8025,Produto e Produção,B5
0103-6513,Produção (São Paulo. Impresso),B2
0149-1970,Progress in Nuclear Energy (New Series),B1
8756-9728,Project Management Journal,B1
0721-3115,"Propellants, Explosives, Pyrotechnics",B1
0033-2097,Przeglad Elektrotechniczny,B2
2182-8407,"Psicologia, Saúde & Doenças",B5
1368-9800,Public Health Nutrition (Wallingford),B1
1677-4280,Qualit@s (UEPB),B5
0898-2112,Quality Engineering,B1
0033-5177,Quality and Quantity,B1
0748-8017,Quality and Reliability Engineering International (Print),B1
1533-7146,Quantum Information & Computation,A2
0033-5894,Quaternary Research (Print),A2
2176-6142,Quaternary and Environmental Geosciences,B5
0100-4042,Química Nova (Impresso),B1
1678-7064,Química Nova (Online),B1
0102-8235,Química Têxtil,B5
1980-5748,Química no Brasil,B5
0033-6807,R & D Management (Print),B1
1981-5700,RAC Eletrônica,B5
1809-6212,RACI. Revista de Administração e Ciências Contábeis do IDEAU,B5
0034-7590,RAE (Impresso),B2
1983-5205,RAHIS. Revista de Administração Hospitalar e Inovação em Saúde,B4
1809-2039,RAI : Revista de Administração e Inovação,B4
0399-0559,RAIRO. Recherche Opérationnelle,B2
1808-0936,RBC. Revista Brasileira de Cartografia (Online),B4
1679-902X,RBGP. Revista Brasileira de Gerenciamento de Projetos,B5
1806-8405,RBPG. Revista Brasileira de Pós-Graduação,B4
1679-9127,REA. Revista Eletrônica de Administração (Franca. Online),B5
2177-8736,REGE Revista de Gestao,B5
1809-2276,REGE. Revista de Gestão USP,B5
0370-4467,REM. Revista Escola de Minas (Impresso),B2
2177-5184,REMark. Revista Brasileira de Marketing,B4
1679-1916,RENOTE. Revista Novas Tecnologias na Educação,B4
2179-8834,REUNA (on line),B5
2046-2069,RSC Advances: an international journal to further the chemical sciences,A1
1688-6194,"RSEUS. Revista sudamericana de educación, universidad y sociedad",B5
0969-806X,Radiation Physics and Chemistry (1993),B1
0144-8420,Radiation Protection Dosimetry,B1
0048-6604,Radio Science,B1
1355-2546,Rapid Prototyping Journal,B1
1290-3868,Recherche Opérationnelle,B2
1008-1690,Rechuli (Ellenike Psuhiatrike Etaireia),C 
1645-2631,Relatórios de Investigação,C 
1678-2399,Relatórios de Pesquisa em Engenharia de Produção (UFF),B5
0951-8320,Reliability Engineering & Systems Safety,A1
1364-0321,Renewable & Sustainable Energy Reviews,A1
0960-1481,Renewable Energy,A2
0739-8859,Research in Transportation Economics,B2
0301-4207,Resources Policy,B1
0921-3449,"Resources, Conservation and Recycling",A2
1806-0803,Reverte (Indaiatuba),B5
0034-6748,Review of Scientific Instruments,A2
2191-0189,Reviews in Analytical Chemistry,B4
2330-8257,Reviews in Fisheries Science & Aquaculture,B4
1983-6791,Revista ADMpg (Impresso),B5
1983-7089,Revista ADMpg (Online),B5
2176-2597,Revista ANTT,B5
1980-1599,Revista Abende,B5
0100-9087,Revista Abrava,B5
2178-0080,Revista Administração em Diálogo - RAD,B5
1983-716X,Revista Alcance (Online),B4
1980-993X,Revista Ambiente & Água,B5
2317-3467,Revista Biomotriz,B5
2179-684X,Revista Brasileira de Administração Científica,B5
0101-7659,Revista Brasileira de Aplicações de Vácuo (Impresso),B4
1806-1362,Revista Brasileira de Aprendizagem Aberta e a Distância,B4
1983-0823,Revista Brasileira de Biometria,B5
1516-635X,Revista Brasileira de Ciência Avícola / Brazilian Journal of Poultry Science,B2
0102-6909,Revista Brasileira de Ciências Sociais (Impresso),B3
2317-5443,Revista Brasileira de Desenvolvimento Regional,B4
1981-1764,Revista Brasileira de Educação Ambiental (Online),B5
0104-303X,Revista Brasileira de Energia,B4
1807-1929,Revista Brasileira de Engenharia Agrícola e Ambiental (Online),B2
1517-3151,Revista Brasileira de Engenharia Biomédica (Impresso),B3
1981-7061,Revista Brasileira de Engenharia de Biossistemas (UNICAMP),B5
1982-873X,Revista Brasileira de Ensino de Ciência e Tecnologia,B5
1806-1117,Revista Brasileira de Ensino de Física (Impresso),B3
0034-7175,Revista Brasileira de Estatística,B4
0102-3098,Revista Brasileira de Estudos de População (Impresso),B2
1679-0731,Revista Brasileira de Finanças (Impresso),B4
1677-8510,Revista Brasileira de Fisiologia do Exercício,B5
2358-0089,Revista Brasileira de Física Tecnológica Aplicada,B5
0102-261X,Revista Brasileira de Geofísica (Impresso),B3
1984-2295,Revista Brasileira de Geografia Física,B5
1519-1540,Revista Brasileira de Geomorfologia,B4
1809-9823,Revista Brasileira de Geriatria e Gerontologia (UnATI. Impresso),B4
1806-4892,Revista Brasileira de Gestão de Negócios (São Paulo. Impresso),B2
1809-239X,Revista Brasileira de Gestão e Desenvolvimento Regional,B3
0100-7203,Revista Brasileira de Ginecologia e Obstetrícia (Impresso),B2
1981-2965,Revista Brasileira de Higiene e Sanidade Animal,B4
1414-5685,Revista Brasileira de Informática na Educação,B4
0102-7786,Revista Brasileira de Meteorologia (Impresso),B4
0102-3616,Revista Brasileira de Ortopedia (Impresso),B3
0104-7698,Revista Brasileira de Pesquisa e Desenvolvimento,B5
1981-9900,Revista Brasileira de Prescrição e Fisiologia do Exercício,B4
2175-0858,Revista Brasileira de Qualidade de Vida,B4
1519-9940,Revista Brasileira de Saúde e Produção Animal,B3
1981-3686,Revista Brasileira de Tecnologia Agroindustrial,B5
0101-0794,Revista C & I. Controle & Instrumentação,B5
2176-4565,Revista CIATEC-UPF,B5
2175-7275,Revista Cereus,B5
1806-1508,Revista Científica JOPEF,B5
2238-5819,Revista Científica On-line Tecnologia Gestão Humanismo,B5
1677-9649,Revista Ciência e Tecnologia,B5
2176-1477,Revista Ciências & Idéias,B5
1516-2893,Revista Ciências Exatas,B5
1982-2960,Revista Congrega Urcamp (CD-Rom),B5
2179-1619,"Revista Design, Inovação e Gestão Estratégica - REDIGE",B5
2317-2738,"Revista Digital do Instituto Latino-Americano de Arte, Cultura e História- UNILA",B5
1806-0013,Revista Dor,B4
1984-6606,Revista Economia & Gestão,B5
1982-4785,Revista Eletrônica Gestão & Saúde,B5
1983-0599,Revista Eletrônica de Ciências Empresariais,B5
1984-3372,Revista Eletrônica de Estratégia & Negócios,B4
1809-8797,Revista Eletrônica de Materiais e Processos (UFCG),B4
1517-1256,Revista Eletrônica do Mestrado em Educação Ambiental,B5
