ISSN,Título,Estrato
0168-9002,"Nuclear Instruments & Methods in Physics Research. Section A, Accelerators, Spectrometers, Detectors and Associated Equipment (Print)",B1
1980-3990,O Mundo da Saúde (Online),C 
0031-1057,O Papel (São Paulo),B4
0964-5691,Ocean & Coastal Management,A2
0029-8018,Ocean Engineering,A2
1519-7727,Oculum Ensaios (PUCCAMP),B4
1982-7784,Olam: Ciência & Tecnologia (Rio Claro. Online),B5
2164-3164,Open Journal of Civil Engineering,B3
2161-718X,Open Journal of Statistics,C 
1389-4420,Optimization and Engineering (Print),B1
1984-6428,Orbital: the Electronic Journal of Chemistry,B3
1679-0944,P@ranoá (UnB),B4
1980-6809,PARC : Pesquisa em Arquitetura e Construção,B5
1935-2735,PLoS Neglected Tropical Diseases (Online),B2
0104-6098,Paisagem e Ambiente,B4
1809-9009,Pan-American Journal of Aquatic Sciences,B3
1516-9111,Papers do NAEA (UFPA),B5
1677-7395,Paranoá (UnB),B5
1756-3305,Parasites & Vectors,B1
2317-8604,Periódico Técnico e Científico Cidades Verdes,C 
2236-885X,Perspectivas online: exatas e engenharias,B5
0100-204-X,Pesquisa Agropecuária Brasileira,B5
0100-204X,Pesquisa Agropecuária Brasileira (1977. Impressa),B1
0101-7438,Pesquisa Operacional (Impresso),B2
1984-3534,Pesquisa Operacional para o Desenvolvimento,B5
1091-6466,Petroleum Science and Technology,B1
1474-905X,Photochemical & Photobiological Sciences (Print),B1
1550-7998,"Physical Review. D, Particles, Fields, Gravitation, and Cosmology",B2
0370-2693,Physics Letters. B (Print),B1
0266-5433,Planning Perspectives (Print),B2
0032-0862,Plant Pathology (Print),B2
1612-8850,Plasma Processes and Polymers (Print),B1
1932-6203,Plos One,A2
1809-8169,Politécnica (Instituto Politécnico da Bahia),B5
0277-5387,Polyhedron,A2
0104-1428,Polímeros (São Carlos. Impresso),B1
1678-5169,Polímeros (São Carlos. Online),B4
1385-2256,Precision Agriculture (Print),B2
1877-7058,Procedia Engineering,B3
1877-0428,Procedia: Social and Behavioral Sciences,C 
1751-7699,Proceedings of ICE. Municipal Engineer (Online),B4
1751-7710,Proceedings of ICE. Transport (Online),B1
1755-0807,Proceedings of The Institution of Civil Engineers. Urban design and Planning (Online),B1
1478-4637,Proceedings of the Institution of Civil Engineers. Bridge Engineering,B2
0965-0903,Proceedings of the Institution of Civil Engineers. Municipal Engineer,B1
0965-0911,Proceedings of the Institution of Civil Engineers. Structures and Buildings,B1
0027-8424,Proceedings of the National Academy of Sciences of the United States of America,A1
1359-5113,Process Biochemistry (1991),A2
1983-8025,Produto e Produção,C 
0103-6513,Produção (São Paulo. Impresso),B2
0099-0027,Professional Safety,B5
1806-0285,Profiscientia (Cuiabá),C 
0149-1970,Progress in Nuclear Energy (New Series),B1
2176-6142,Quaternary and Environmental Geosciences,B3
0100-4042,Química Nova (Impresso),B3
2177-2738,RA'E GA: o Espaço Geográfico em Análise,B5
1808-0936,RBC. Revista Brasileira de Cartografia (Online),B3
0951-4198,RCM. Rapid Communications in Mass Spectrometry,B2
1806-4051,REGA. Revista de Gestão de Águas da América Latina,B3
0370-4467,REM. Revista Escola de Minas (Impresso),B2
0969-806X,Radiation Physics and Chemistry (1993),B1
1981-9951,Rama : Revista em Agronegócio e Meio Ambiente,B3
0870-1741,Recursos Hídricos (Lisboa),B3
1982-6745,Redes (Santa Cruz do Sul. Online),C 
1436-3798,Regional Environmental Change (Print),A2
1364-0321,Renewable & Sustainable Energy Reviews,A1
0960-1481,Renewable Energy,A1
0739-8859,Research in Transportation Economics,B2
0921-3449,"Resources, Conservation and Recycling",A1
1061-2971,Restoration Ecology,B2
2318-3675,ReuMinds,C 
2237-3667,"Reunir: Revista de Administracao, Ciencias Contabeis e Sustentabilidade",B4
0718-378X,Revista AIDIS de Ingeniería y Ciencias Ambientales,B3
0028-9531,Revista ALCONPAT,B3
2176-2597,Revista ANTT,B4
1984-428X,Revista Agrogeoambiental,B5
1983-716X,Revista Alcance (Online),B5
1980-993X,Revista Ambiente & Água,B5
2317-3467,Revista Biomotriz,C 
1982-7679,Revista Brasileira de Agricultura Irrigada,B5
0560-4613,Revista Brasileira de Cartografia (Impresso),B3
0100-0683,Revista Brasileira de Ciência do Solo (Impresso),B1
1808-4524,Revista Brasileira de Ciências Ambientais,B3
1980-055X,Revista Brasileira de Climatologia,B3
1981-1764,Revista Brasileira de Educação Ambiental (Online),B4
0104-303X,Revista Brasileira de Energia,B5
1415-4366,Revista Brasileira de Engenharia Agrícola e Ambiental (Impresso),B2
1807-1929,Revista Brasileira de Engenharia Agrícola e Ambiental (Online),B2
1517-3151,Revista Brasileira de Engenharia Biomédica (Impresso),B2
1982-873X,Revista Brasileira de Ensino de Ciência e Tecnologia,B5
0034-7175,Revista Brasileira de Estatística,B4
2358-1239,Revista Brasileira de Estudos do Lazer,C 
0375-7536,Revista Brasileira de Geociências,B4
0102-261X,Revista Brasileira de Geofísica (Impresso),B2
1984-2295,Revista Brasileira de Geografia Física,B5
2236-5664,Revista Brasileira de Geomorfologia,B3
1519-1540,Revista Brasileira de Geomorfologia,B4
2317-4285,Revista Brasileira de Geomática,B5
1809-239X,Revista Brasileira de Gestão e Desenvolvimento Regional,B2
0102-7786,Revista Brasileira de Meteorologia (Impresso),B2
1982-6125,Revista Brasileira de Pesquisa em Turismo,B5
1516-1846,Revista CEFAC (Impresso),B5
2176-4565,Revista CIATEC-UPF,B4
1983-2125,Revista Caatinga (Online),B3
0100-316X,Revista Caatinga (UFERSA. Impresso),B1
0034-737X,Revista Ceres,B3
1982-5285,Revista Científica Facimed,C 
2236-6733,Revista Ciência e Tecnologia,B5
1679-4605,Revista Ciência em Extensão,B5
1414-0896,Revista Ciências Administrativas (UNIFOR),C 
1677-5090,Revista Ciências Médicas e Biológicas,C 
2176-0144,Revista Conexões - Ciência e tecnologia,C 
2176-8501,Revista Conhecimento Online,B5
2316-9060,Revista Cultura e Extensão USP,C 
0101-6040,Revista DAE,B3
1806-8365,Revista Desafios do Desenvolvimento,B5
1808-2432,Revista Direito GV,B5
0120-8160,Revista EAN,C 
2317-5451,Revista ELO - Diálogos em Extensão,C 
0100-4956,Revista Econômica do Nordeste,B3
2316-350X,Revista Eletrônica FACP,C 
2317-563X,Revista Eletrônica de Gestão e Tecnologias Ambientais,B5
1809-8797,Revista Eletrônica de Materiais e Processos (UFCG),B4
2236-1170,"Revista Eletrônica em Gestão, Educação e Tecnologia Ambiental",B5
1980-3915,Revista Emergência (Novo Hamburgo),C 
0120-6230,Revista Facultad de Ingeniería Universidad de Antioquia,B2
2237-0722,"Revista GEINTEC: gestao, inovacao e tecnologias",B5
1517-4999,Revista GeoPantanal,B5
1981-089X,Revista Geografar (UFPR),B5
2238-8753,Revista Gestão & Sustentabilidade Ambiental,B4
1808-0448,Revista Gestão Industrial,B4
1677-9762,Revista Gestão do Conhecimento (Curitiba. Impresso),C 
1983-4195,Revista IBRACON de Estruturas e Materiais,B2
1548-0992,Revista IEEE América Latina,B1
2358-5951,Revista Iniciativa Econômica,B5
2316-7041,Revista Internacional de Ciências,B4
0213-1315,Revista Internacional de Métodos Numéricos para Cálculo y Diseño en Ingeniería,B1
1518-8345,Revista Latino-Americana de Enfermagem (Online),B5
0104-1169,Revista Latino-Americana de Enfermagem (USP. Ribeirão Preto. Impresso),B3
2222-2596,Revista Latinoamericana de Derecho y Políticas Ambientales,C 
1518-8043,Revista Liberato (Novo Hamburgo),C 
1806-0390,Revista Limpeza Pública,C 
2027-1557,Revista Lucíernaga,C 
2237-7964,Revista Madeira: Arquitetura e Engenharia,B5
2316-2856,Revista Meio Ambiente e Sustentabilidade,B5
2316-4522,Revista Militar de Ciência e Tecnologia,B3
1981-4089,Revista Mirante (UFG),C 
2236-1308,Revista Monografias Ambientais,B3
1982-1832,Revista Mundologística,C 
2236-5567,Revista Paranaense de Desenvolvimento (Online),B5
1809-1865,Revista Pavimentação,B4
1645-4464,Revista Portuguesa e Brasileira de Gestão (Lisboa),B3
1676-1901,Revista Produção Online,B4
1809-3957,Revista SODEBRAS,C 
1984-3526,Revista Tecnologia e Sociedade (Online),B4
0254-0770,Revista Técnica de la Facultad de Ingeniería. Universidad del Zulia,B2
1981-8203,Revista Verde de Agroecologia e Desenvolvimento Sustentável,B4
1984-6835,Revista Virtual de Química,B5
2238-9377,Revista da Estrutura de Aço,B4
1517-0276,Revista da Universidade Vale do Rio Verde,B5
1983-4659,Revista de Administração da UFSM,B5
1657-0308,Revista de Arquitectura,C 
0103-8575,Revista de Ciência & Tecnologia,B5
2176-7270,Revista de Engenharia e Tecnologia,B4
2236-0158,Revista de Ensino de Engenharia,B4
0101-5001,Revista de Ensino de Engenharia,B4
0000-000X,Revista de Epidemiologia e Controle de Infecção,B5
2238-6211,Revista de Geografia,C 
0104-5490,Revista de Geografia (Recife),B4
0103-2410,Revista de Geologia (Fortaleza),B4
1851-7838,Revista de Geología Aplicada a la Ingeniería y al Ambiente,B4
1807-1775,Revista de Gestão da Tecnologia e Sistemas de Informação (Online),B5
1753-6847,Revista de História da Biblioteca Nacional,C 
1815-5928,"Revista de Ingeniería Electrónica, Automática y Comunicaciones",C 
0718-5073,Revista de Ingeniería de Construcción (En línea),B2
2178-2865,Revista de Políticas Públicas,C 
0370-694X,Revista de Química Industrial,C 
1413-8131,Revista de Tecnologia e Ambiente,B5
0717-7925,Revista de la Construcción (Santiago),B2
1315-2556,Revista de la Sociedad Venezolana de Microbiología,B5
0036-4665,Revista do Instituto de Medicina Tropical de São Paulo (Impresso),B1
0102-7212,Revista dos Transportes Públicos,B3
0100-6762,Revista Árvore (Impresso),B1
1806-9088,Revista Árvore (Online),B2
1493-8871,Revue Organisations & Territoires,B5
1679-3498,Risco (São Carlos),B5
1468-0629,Road Materials and Pavement Design,A2
2178-9061,Rosa dos Ventos,C 
1980-5160,S & G. Sistemas & Gestão,B4
1980-0002,SaBios (Faculdade Integrado de Campo Mourão. Online),B5
0103-7056,Saneamento Ambiental,B4
0104-1290,Saúde e Sociedade (USP. Impresso),B1
0036-8075,"Science (New York, N.Y.)",A1
0048-9697,Science of the Total Environment,A1
0103-9016,Scientia Agricola (USP. Impresso),B2
1413-9324,Scientia Forestalis (IPEF),B2
1808-2793,Scientia Plena,B4
1676-5451,Semina. Ciências Exatas e Tecnológicas (Impresso),B4
0149-6395,Separation Science and Technology (Print),B1
1383-5866,Separation and Purification Technology (Print),A1
0037-5497,"Simulation (San Diego, Calif.)",B1
1677-499X,Sinergia (CEFETSP),B5
1981-4240,Sistemas Prediais,B5
1982-4513,Sociedade & Natureza (UFU. Online),B2
1415-5893,Sociedade e Território (Natal),B5
0167-1987,Soil & Tillage Research,A2
0038-0717,Soil Biology & Biochemistry,B1
1980-9743,Soils & Rocks,B2
0584-8547,"Spectrochimica Acta. Part B, Atomic Spectroscopy",B1
2193-1801,SpringerPlus,B2
1436-3240,Stochastic Environmental Research and Risk Assessment (Print),A1
1545-2255,Structural Control & Health Monitoring (Print),A2
0167-4730,Structural Safety,A1
0263-080X,Structural Survey,B2
1615-1488,Structural and Multidisciplinary Optimization (Internet),A1
1615-147X,Structural and Multidisciplinary Optimization (Print),A1
0257-8972,Surface & Coatings Technology,A2
2071-1050,Sustainability (Basel),B1
2043-7129,Sustainable Chemical Processes,B5
2179-9067,Sustentabilidade em Debate,C 
1677-1966,TEMA. Tendências em Matemática Aplicada e Computacional,B3
0104-1053,Techne : Revista de Tecnologia da Construção (São Paulo),B4
1982-6753,Tecno-lógica (Santa Cruz do Sul . Online),B4
1414-8498,Tecnologia & Cultura (CEFET/RJ),B5
2176-1515,"Tecnologia em Metalurgia, Materiais e Mineração (Impresso)",B5
1970-9889,Tema,B5
0872-8941,Territorium (Coimbra),B4
1816-0719,The Biologist (Lima),C 
2090-4819,The Cairo Review of Global Affairs,C 
1089-3032,The Electronic Journal of Geotechnical Engineering,B2
1951-6401,The European Physical Journal. Special Topics (Online),B2
0256-6419,The FIEP Bulletin,B4
0948-3349,The International Journal of Life Cycle Assessment,A2
0735-0120,The International Journal of Orofacial Myology,B3
1029-8436,The International Journal of Pavement Engineering,B1
2325-1166,The International Journal of Sustainability Policy and Practice,B4
1029-8479,The Journal of High Energy Physics (Online),B1
1088-1697,The Journal of Solid Waste Technology and Management,B2
2093-0569,The Korean Journal of Pain,C 
1876-2166,The Open Occupational Health & Safety Journal,C 
1874-3064,The Open Respiratory Medicine Journal,C 
1541-7794,The Structural Design of Tall and Special Buildings,A2
2197-0025,Theoretical and Experimental Plant Physiology,C 
0040-6090,Thin Solid Films,A2
0263-8231,Thin-Walled Structures,A2
2182-8458,Tourism & Management Studies,C 
0378-4274,Toxicology Letters,B1
1750-6166,Transforming Government (Print),B2
0361-1981,Transportation Research Record,B1
0965-8564,"Transportation Research. Part A, Policy and Practice",A1
1361-9209,"Transportation Research. Part D, Transport and Environment",A1
2237-1346,Transportes (Rio de Janeiro),B2
1516-0025,Traços (UNAMA),B5
1679-3005,Tropical Oceanography (Impresso),B3
1679-3013,Tropical Oceanography (Online),B4
1350-4177,Ultrasonics Sonochemistry,B2
1984-7459,Universitas (Araçatuba),B3
2212-0955,Urban Climate,B2
1027-4278,Urban Morphology,B2
1982-0569,Urbana - Revista Eletrônica do Centro Interdisciplinar de Estudos da Cidade,B5
2175-3369,Urbe. Revista Brasileira de Gestão Urbana,B4
1415-2843,Vértices (Campos dos Goitacazes),B5
1743-3541,WIT Transactions on Ecology and the Environment (Online),B2
1746-448X,WIT Transactions on Ecology and the Environment (Print),B2
1743-3533,WIT Transactions on Engineering Sciences (Online),B5
1743-3509,WIT Transactions on the Built Environment (Online),B2
1746-4498,WIT Transactions on the Built Environment (Print),B2
0956-053X,Waste Management (Elmsford),A1
0734-242X,Waste Management and Research,A2
2073-4441,Water,B3
1061-4303,Water Environment Research,A2
0250-8060,Water International,A2
1366-7017,Water Policy,B1
1876-1658,"Water Quality, Exposure and Health",B5
0043-1354,Water Research (Oxford),A1
0920-4741,Water Resources Management,A1
0043-1397,Water Resources Research,A1
2316-6886,Water Resources and Irrigation Management,B5
0378-4738,Water S.A.,A2
0273-1223,Water Science and Technology,A1
1606-9749,Water Science and Technology: Water Supply (Print),B1
1573-2932,"Water, Air and Soil Pollution (Dordrecht. Online)",B2
0049-6979,"Water, Air and Soil Pollution (Print)",A1
1051-9815,"Work (Reading, MA)",B2
0959-3993,World Journal of Microbiology & Biotechnology,B1
1178-9913,Zoosymposia,C 
0344-8657,Zuckerindustrie (Berlin) / Sugar Industry (Berlin),B2
1982-6737,Ágora (UNISC. Online),C 
2179-9784,Águas Subterrâneas,B3
0101-7004,Águas Subterrâneas (São Paulo),B3
