ISSN,Título,Estrato
1753-1047,International Journal of Mechatronics and Manufacturing Systems (Online),B2
1753-1039,International Journal of Mechatronics and Manufacturing Systems (Print),B2
1081-3829,International Journal of Medical and Biological Frontiers,B4
1755-2176,International Journal of Metaheuristics,B4
2107-6839,International Journal of Metrology and Quality Engineering,B3
0301-7516,International Journal of Mineral Processing (Print),A2
0129-1831,International Journal of Modern Physics C,B1
1752-0479,International Journal of Monetary Economics and Finance (Print),B3
2045-7057,International Journal of Multidisciplinary Sciences and Engineering,C 
0301-9322,International Journal of Multiphase Flow,A1
0020-7462,International Journal of Non-Linear Mechanics,A2
1741-6361,"International Journal of Nuclear Energy, Science and Technology (Print)",B2
0749-6419,International Journal of Plasticity,A1
0308-0161,International Journal of Pressure Vessels and Piping,B1
0925-5273,International Journal of Production Economics,C 
1366-588X,International Journal of Production Research,A2
0020-7543,International Journal of Production Research (Print),A2
0263-7863,International Journal of Project Management,A2
1311-8080,International Journal of Pure and Applied Mathematics,C 
0265-671X,International Journal of Quality and Reliability Management,B2
1755-0556,International Journal of Reasoning-Based Intelligent Systems (Print),B3
0140-7007,International Journal of Refrigeration,A1
2076-734X,International Journal of Research and Reviews in Applied Sciences,C 
1049-8923,International Journal of Robust and Nonlinear Control (Print),A1
1023-621X,International Journal of Rotating Machinery (Print),B2
2305-1493,International Journal of Scientific Knowledge,C 
0020-7683,International Journal of Solids and Structures,A1
1754-9507,International Journal of Speech-Language Pathology (Print),B1
0172-4622,International Journal of Sports Medicine,A2
1598-2351,International Journal of Steel Structures,B1
1757-9864,International Journal of Structural Integrity,B2
1474-2748,International Journal of Technology Management & Sustainable Development,B4
1290-0729,International Journal of Thermal Sciences,A1
0195-928X,International Journal of Thermophysics,B1
0975-3060,International Journal of Vehicle Structures and Systems,C 
1745-6436,International Journal of Vehicle Systems Modelling and Testing - IJVSMT (Print),B3
1476-1289,International Journal of Web Engineering and Technology,B2
1068-9605,International Journal of Wireless Information Networks,B2
0268-3768,"International Journal, Advanced Manufacturing Technology",B1
0341-2695,International Orthopaedics,B1
2035-1755,International Review of Chemical Engineering (Testo Stampato),B5
1057-5219,International Review of Financial Analysis,B1
1970-8742,International Review of Mechanical Engineering,B2
1970-8734,International Review of Mechanical Engineering (Testo Stampato),B2
0969-6016,International Transactions in Operational Research,B1
0306-400X,International Water Power & Dam Construction,B3
1809-7286,Intersaberes (Facinter),B5
0266-5611,Inverse Problems (Print),A1
0120-5307,Investigacion y Educacion en Enfermeria,B4
2174-5609,Investigaciones turísticas,B5
1853-9777,Investigación Operativa,B5
0301-9233,Ironmaking & Steelmaking,B1
1594-4077,Italian Journal of Animal Science (Testo stampato),B1
1984-3046,JOSCM. Journal of Operations and Supply Chain Management,B5
2156-3527,JOURNAL OF COMBINATORICS,B4
0254-6051,Jinshu Rèchuli / Heat Treatment of Metals (Beijing),B3
1932-0620,Journal of Addiction Medicine,B1
1461-5185,Journal of Adhesive Dentistry,B1
2226-4108,Journal of Advanced Ceramics,B4
0197-6729,Journal of Advanced Transportation,A2
1984-9648,Journal of Aerospace Technology and Management (Impresso),B2
2175-9146,Journal of Aerospace Technology and Management (Online),B2
0021-8561,Journal of Agricultural and Food Chemistry,A1
0969-6997,Journal of Air Transport Management,B1
0021-8669,Journal of Aircraft (Print),B1
0925-8388,Journal of Alloys and Compounds,A2
0165-2370,Journal of Analytical and Applied Pyrolysis (Print),A2
1460-2091,Journal of Antimicrobial Chemotherapy (Online),B2
1065-8483,Journal of Applied Biomechanics,B1
1678-7757,Journal of Applied Oral Science (Impresso),B1
0021-8979,Journal of Applied Physics,A2
0021-8995,Journal of Applied Polymer Science (Print),B1
1360-0532,Journal of Applied Statistics,B1
0266-4763,Journal of Applied Statistics,B1
0305-4403,Journal of Archaeological Science,A2
1364-6826,Journal of Atmospheric and Solar-Terrestrial Physics,B1
2158-7027,Journal of Biomaterials and Nanobiotechnology,C 
0021-9290,Journal of Biomechanics,A2
1549-3296,Journal of Biomedical Materials Research. Part A,A2
1552-4973,"Journal of Biomedical Materials Research. Part B, Applied Biomaterials",B1
1083-3668,Journal of Biomedical Optics,A2
1937-6871,Journal of Biomedical Science and Engineering,C 
1110-7251,Journal of Biomedicine and Biotechnology (Online),B1
0167-4544,Journal of Business Ethics,A2
0730-2312,Journal of Cellular Biochemistry (Print),B1
2141-6605,Journal of Chemical Engineering and Materials Science,C 
0021-9614,Journal of Chemical Thermodynamics,A2
0021-9568,Journal of Chemical and Engineering Data,A2
2090-9063,Journal of Chemistry,B4
1934-7375,Journal of Chemistry and Chemical Engineering,C 
0021-9665,Journal of Chromatographic Science,B1
0959-6526,Journal of Cleaner Production,A1
1551-5036,Journal of Coastal Research,B1
0749-0208,Journal of Coastal Research,B1
1945-9645,Journal of Coatings Technology and Research,B4
0021-9797,Journal of Colloid and Interface Science (Print),A2
1548-7709,Journal of Communication and Computer,B5
0021-9983,Journal of Composite Materials,A1
0218-396X,Journal of Computational Acoustics,B1
1983-8409,Journal of Computational Interdisciplinary Sciences,B4
0733-9364,Journal of Construction Engineering and Management,B1
0169-7722,Journal of Contaminant Hydrology,A1
2195-3899,"Journal of Control, Automation and Electrical Systems",B3
1475-7516,Journal of Cosmology and Astroparticle Physics,A1
1680-743X,Journal of Data Science (Print),B4
0022-0345,Journal of Dental Research,A1
1544-0591,Journal of Dental Research (Online),A1
0022-0434,"Journal of Dynamic Systems, Measurement, and Control",B1
0021-3624,Journal of Economic Issues,B1
1572-6657,Journal of Electroanalytical Chemistry,A2
1942-0749,Journal of Electromagnetic Analysis and Applications,C 
1942-0730,Journal of Electromagnetic Analysis and Applications,C 
0920-5071,Journal of Electromagnetic Waves and Applications (Print),B1
0361-5235,Journal of Electronic Materials,B1
1043-7398,Journal of Electronic Packaging,B1
0022-0795,Journal of Endocrinology,A2
0099-2399,Journal of Endodontics,A1
1934-8975,Journal of Energy and Power Engineering,C 
1823-4690,Journal of Engineering Science & Technology,B3
1816-949X,Journal of Engineering and Applied Sciences (Faisalabad. Print),C 
2325-6192,Journal of Environmental Accounting and Management,B4
2213-3437,Journal of Environmental Chemical Engineering,B4
0301-4797,Journal of Environmental Management,A2
2152-2219,Journal of Environmental Protection (Online),C 
2152-2197,Journal of Environmental Protection (Print),C 
1934-8932,Journal of Environmental Science and Engineering,C 
2165-7556,Journal of Ergonomics,C 
1097-9751,Journal of Exercise Physiology Online,B3
1547-7029,Journal of Failure Analysis and Prevention,B2
0022-1120,Journal of Fluid Mechanics (Print),A1
0098-2202,Journal of Fluids Engineering,B1
0889-9746,Journal of Fluids and Structures,A1
0260-8774,Journal of Food Engineering,A1
2151-1950,Journal of Geographic Information System,C 
2151-1969,Journal of Geographic Information System,C 
0148-0227,Journal of Geophysical Research,A1
2156-2202,Journal of Geophysical Research,A1
1742-2132,Journal of Geophysics and Engineering (Print),B1
0925-5001,Journal of Global Optimization,A2
1573-2916,Journal of Global Optimization (Dordrecht. Online),A2
0364-9024,Journal of Graph Theory (Print),A2
0022-1481,Journal of Heat Transfer,A1
1528-8943,Journal of Heat Transfer (Online),A1
1572-9397,Journal of Heuristics (Dordrecht. Online),B2
1001-6058,Journal of Hydrodynamics,B1
1084-0699,Journal of Hydrologic Engineering,A2
0263-6352,Journal of Hypertension,A2
1938-7857,Journal of Information Technology Research,B3
0022-1910,Journal of Insect Physiology,A2
1748-0221,Journal of Instrumentation,B1
1064-1246,Journal of Intelligent & Fuzzy Systems,B1
0921-0296,Journal of Intelligent & Robotic Systems,B1
0956-5515,Journal of Intelligent Manufacturing,B1
1045-389X,Journal of Intelligent Material Systems and Structures (Print),A2
1075-4253,Journal of International Management,B1
1367-3270,Journal of Knowledge Management,A2
0950-4230,Journal of Loss Prevention in the Process Industries,B1
0304-8853,Journal of Magnetism and Magnetic Materials,A2
1941-899X,Journal of Management Research,C 
1923-3965,Journal of Management and Strategy,C 
1741-038X,Journal of Manufacturing Technology Management,B2
0948-4280,Journal of Marine Science and Technology (Print),B1
1059-9495,Journal of Materials Engineering and Performance (Print),B1
0924-0136,Journal of Materials Processing Technology,A2
2238-7854,Journal of Materials Research and Technology,B4
0022-2461,Journal of Materials Science,A1
1573-4803,Journal of Materials Science (Dordrecht. Online),B2
2161-6221,Journal of Materials Science and Engineering (A&B),C 
2161-6213,Journal of Materials Science and Engineering A,C 
0957-4530,Journal of Materials Science. Materials in Medicine,B1
1573-4838,Journal of Materials Science. Materials in Medicine (Dordrecht. Online),B1
0899-1561,Journal of Materials in Civil Engineering,A2
0022-247X,Journal of Mathematical Analysis and Applications (Print),A2
2159-5275,Journal of Mechanics Engineering and Automation,C 
1942-4310,Journal of Mechanisms and Robotics,B2
0960-1317,Journal of Micromechanics and Microengineering (Print),B1
2153-120X,Journal of Modern Physics,C 
2317-3963,Journal of Modern Project Management,B4
1687-4110,Journal of Nanomaterials (Print),B1
1388-0764,Journal of Nanoparticle Research,A2
1934-2608,Journal of Nanophotonics,B1
1533-4880,Journal of Nanoscience and Nanotechnology (Print),B1
0377-0257,Journal of Non-Newtonian Fluid Mechanics (Print),A1
0195-9298,Journal of Nondestructive Evaluation,A2
1925-4059,Journal of Nursing Education and Practice (Online),C 
0892-7219,Journal of Offshore Mechanics and Arctic Engineering,B1
0022-3239,Journal of Optimization Theory and Applications,A1
0278-2391,Journal of Oral and Maxillofacial Surgery (Print),B1
0743-7315,Journal of Parallel and Distributed Computing (Print),A2
0920-4105,Journal of Petroleum Science & Engineering,B1
2168-5517,Journal of Petroleum Science Research,C 
0731-7085,Journal of Pharmaceutical and Biomedical Analysis (Print),A2
1932-7447,Journal of Physical Chemistry. C,A1
0022-3697,Journal of Physics and Chemistry of Solids,B1
1751-8113,"Journal of Physics. A, Mathematical and Theoretical (Print)",A2
0953-8984,Journal of Physics. Condensed Matter (Print),A2
1742-6596,Journal of Physics. Conference Series (Online),C 
1742-6588,Journal of Physics. Conference Series (Print),C 
0022-3778,Journal of Plasma Physics (Print),B1
0334-6447,Journal of Polymer Engineering,B2
1380-2224,Journal of Porous Materials,B1
1091-028X,Journal of Porous Media,B1
0378-7753,Journal of Power Sources (Print),A1
1838-7845,"Journal of Project, Program & Portfolio Management",B5
0748-4658,Journal of Propulsion and Power (Print),A2
1059-941X,Journal of Prosthodontics (Print),B1
1355-2511,Journal of Quality in Maintenance Engineering,B2
0731-6844,Journal of Reinforced Plastics and Composites (Print),B1
2210-4690,Journal of Remanufacturing,B4
1941-7012,Journal of Renewable and Sustainable Energy,B1
1615-9306,Journal of Separation Science (Print),B1
0928-0707,Journal of Sol-Gel Science and Technology,A1
0199-6231,Journal of Solar Energy Engineering,B1
1432-8488,Journal of Solid State Electrochemistry (Print),B1
0022-460X,Journal of Sound and Vibration,A1
0378-3758,Journal of Statistical Planning and Inference (Print),B1
1047-8477,Journal of Structural Biology (Print),B1
1557-1939,Journal of Superconductivity and Novel Magnetism,B1
1557-1947,Journal of Superconductivity and Novel Magnetism (Online),B1
0718-2724,Journal of Technology Management & Innovation,B2
1678-4804,Journal of The Brazilian Computer Society (Online),B3
1429-2955,Journal of Theoretical and Applied Mechanics (Warsaw),B1
1388-6150,Journal of Thermal Analysis and Calorimetry,B1
1948-5085,Journal of Thermal Science and Engineering Applications,B2
0892-7057,Journal of Thermoplastic Composite Materials,A2
2238-1031,Journal of Transport Literature,B4
0742-4787,Journal of Tribology,B1
1468-5248,Journal of Turbulence,B1
0733-9488,Journal of Urban Planning and Development,B1
1048-9002,Journal of Vibration and Acoustics,B1
1077-5463,Journal of Vibration and Control,A1
2306-7691,Journal of Water Resource and Hydraulic Engineering,C 
0167-6105,Journal of Wind Engineering and Industrial Aerodynamics (Print),A2
1754-9957,Journal of World Energy Law and Business (Print),B2
2155-9864,Journal of blood disorders & transfusion,C 
Feb-20,Journal of the American Ceramic Society,A1
1808-3331,Journal of the Brazilian Air Transportation Research Society,B4
0103-5053,Journal of the Brazilian Chemical Society (Impresso),B1
0104-6500,Journal of the Brazilian Computer Society (Impresso),B2
1678-5878,Journal of the Brazilian Society of Mechanical Sciences and Engineering (Impresso),B2
0013-4651,Journal of the Electrochemical Society,A1
0955-2219,Journal of the European Ceramic Society,A1
0016-0032,Journal of the Franklin Institute,A2
0016-7649,Journal of the Geological Society (London),A1
1751-6161,Journal of the Mechanical Behavior of Biomedical Materials (Print),B1
0022-5096,Journal of the Mechanics and Physics of Solids,A1
0160-5682,Journal of the Operational Research Society,B1
1742-5689,Journal of the Royal Society Interface (Print),A1
1662-9795,Key Engineering Materials (Online),B3
0269-8889,Knowledge Engineering Review (Print),B1
1477-8238,Knowledge Management Research and Practice (Print),B1
0950-7051,Knowledge-Based Systems,A1
0954-0075,LUBR SCI,B1
2176-8846,Labor & Engenho,C 
0264-8377,Land Use Policy,A1
0743-7463,Langmuir,A1
0268-8921,Lasers in Medical Science,A2
1435-604X,Lasers in Medical Science (Internet),A2
0196-8092,Lasers in Surgery and Medicine (Print),A1
0327-0793,Latin American Applied Research,B2
1679-7817,Latin American Journal of Solids and Structures (Impresso),B1
1571-9537,Law and Business Review of the Americas,B4
1676-2789,Learning and Nonlinear Models,B4
0023-6438,Lebensmittel-Wissenschaft + Technologie / Food Science + Technology,A1
1514-3465,Lecturas Educación Física y Deportes (Buenos Aires),B5
1865-1348,Lecture Notes in Business Information Processing,C 
0302-9743,Lecture Notes in Computer Science,C 
2070-1918,Lecture Notes in Information Technology,C 
1808-3536,Liinc em Revista,B5
0024-3795,Linear Algebra and its Applications,A2
1981-6790,Locus Científico (Impresso),B5
1522-7235,"Luminescence (Chichester, England Print)",B1
1946-4274,MRS Proceedings,C 
0122-0268,MVZ Cordoba,B2
0104-9313,Mana (UFRJ. Impresso),B3
1477-7835,Management of Environmental Quality,B2
0025-2700,Maquinas e Metais,B5
0025-326X,Marine Pollution Bulletin.,A1
0951-8339,Marine Structures,A1
1679-396X,Marine Systems & Ocean Technology,B4
0025-3324,Marine Technology Society Journal,B1
0264-8172,Marine and Petroleum Geology,A2
1479-2931,Maritime Economics & Logistics (Print),B1
0103-9059,Matematica Contemporanea,B5
0264-1275,Materials & Design,B4
1044-5803,Materials Characterization,A1
0254-0584,Materials Chemistry and Physics,A2
0167-577X,Materials Letters (General ed.),A2
1516-1439,Materials Research (São Carlos. Impresso),B2
0025-5408,Materials Research Bulletin,A2
0921-5093,"Materials Science & Engineering. A, Structural Materials: Properties, Microstructure and Processing",A2
0928-4931,"Materials Science & Engineering. C, Biomimetic Materials, Sensors and Systems (Print)",B1
0255-5476,Materials Science Forum,B5
1662-9752,Materials Science Forum (Online),B5
2153-1188,Materials Sciences and Applications (Online),B4
2153-117X,Materials Sciences and Applications (Print),B4
0947-5117,Materials and Corrosion (1995),A2
1042-6914,Materials and Manufacturing Processes,B1
1359-5997,Materials and Structures,A2
0933-5137,Materialwissenschaft und Werkstofftechnik,B2
1563-5147,Mathematical Problems in Engineering (Online),B1
1024-123X,Mathematical Problems in Engineering (Print),B1
0025-5610,Mathematical Programming,A1
1867-2949,Mathematical Programming Computation,B2
0165-4896,Mathematical Social Sciences,B1
0895-7177,Mathematical and Computer Modelling,A1
0378-4754,Mathematics and Computers in Simulation (Print),B1
1517-7076,Matéria (UFRJ),B3
0263-2241,Measurement (London. Print),B1
1676-0972,Mecatrônica Atual,B5
0888-3270,Mechanical Systems and Signal Processing,A1
0093-6413,Mechanics Research Communications,B1
1385-2000,Mechanics of Time-Dependant Materials,A2
0094-114X,Mechanism and Machine Theory,A2
0957-4158,Mechatronics (Oxford),A2
1666-6070,Mecánica Computacional,B5
1646-7078,Mecânica Experimental,B4
1350-4533,Medical Engineering & Physics,B1
1984-2201,Mercator (Fortaleza. Online),B4
1350-4827,Meteorological Applications (Print),B1
0177-7971,Meteorology and Atmospheric Physics (Print),B1
1681-7575,Metrologia (Online),A2
0860-8229,Metrologia i Systemy Pomiarowe / Metrology and Measuring Systems,B2
0874-3738,Metálica,B5
1432-184X,Microbial Ecology (Online),B2
0026-265X,Microchemical Journal (Print),A2
1613-4982,Microfluidics and Nanofluidics (Print),A2
1387-1811,Microporous and Mesoporous Materials (Print),A1
1059-910X,Microscopy Research and Technique (Print),B1
1431-9276,Microscopy and Microanalysis (Print),A2
0946-7076,Microsystem Technologies,B1
1542-1406,"Molecular Crystals and Liquid Crystals (Philadelphia, Pa. : 2003)",B2
0035-8711,Monthly Notices of the Royal Astronomical Society (Print),A1
1646-107X,Motricidade (Santa Maria da Feira),B3
0963-8695,NDT & E International,A1
1556-276X,Nanoscale Research Letters (Online),A2
1941-4900,Nanoscience and Nanotechnology Letters,B1
2237-4558,Navus Revista de Gestão e Tecnologia,B5
1806-0404,Negócios e Talentos,B5
0028-3045,"Networks (New York, N.Y. Print)",B1
0925-2312,Neurocomputing (Amsterdam),A2
0306-4522,Neuroscience,B1
1516-5981,Novos Olhares (USP),B5
0029-5493,Nuclear Engineering and Design (Print),B1
1982-2278,Nucleus (Ituverava. Online),B5
1040-7782,"Numerical Heat Transfer. Part A, Applications",A2
1040-7790,"Numerical Heat Transfer. Part B, Fundamentals",A2
0212-1611,Nutrición Hospitalaria,B1
0163-5581,Nutrition and Cancer,B1
1518-6091,O Mundo da Usinagem (São Paulo),B5
0171-6468,OR-Spektrum,B1
0029-8018,Ocean Engineering,B1
1294-4475,Oil & Gas Science and Technology,B1
2176-9249,Olhares Plurais,B5
2161-7384,Open Journal of Marine Science,C 
2162-5379,Open Journal of Soil Science,C 
2161-718X,Open Journal of Statistics,C 
0163-5980,Operating Systems Review,B2
0361-7734,Operative Dentistry,B1
0091-3286,Optical Engineering (Bellingham. Print),B1
0925-3467,Optical Materials (Amsterdam. Print),A2
1094-4087,Optics Express,A1
0143-8166,Optics and Lasers in Engineering,B1
1862-4472,Optimization Letters (Print),B1
1984-6428,Orbital: the Electronic Journal of Chemistry,B4
0167-8094,Order (Dordrecht),B1
1519-0110,Org & Demo (Unesp. Marília),B5
1413-585X,Organizações & Sociedade (Impresso),B4
1984-9230,Organizações & Sociedade (Online),B4
2238-6890,Organizações Rurais & Agroindustriais,B4
1676-0220,PCH Notícias & SHP News,B5
1982-6109,Paidéi@ (Santos),B5
0103-5908,Paradigma (Ribeirão Preto),B5
1756-3305,Parasites & Vectors,A2
0031-1820,Parasitology (London. Print),A2
1383-5769,Parasitology International (Print),B1
0932-0113,Parasitology Research (1987. Print),A2
1413-9375,Parcerias Estratégicas (Impresso),C 
0272-6351,Particulate Science and Technology,B2
0957-798X,Paton Welding Journal,C 
0167-8655,Pattern Recognition Letters,B1
0031-3920,Pediatria Moderna,B5
1415-5109,Pensamento & Realidade,B5
0873-8904,Pensar Enfermagem,B5
2316-7521,Percurso (Curitiba),B5
0101-2908,Perspectiva (Erexim),B5
1413-9936,Perspectivas em Ciência da Informação (Impresso),B3
2238-0507,Perspectivas em Ciências Tecnológicas,B5
2236-885X,Perspectivas online: exatas e engenharias,B5
1679-5830,Pesquisa & Desenvolvimento Engenharia de Produção,B4
1414-8595,Pesquisa Naval (SDM),B5
0101-7438,Pesquisa Operacional (Impresso),B2
1984-3534,Pesquisa Operacional para o Desenvolvimento,B4
0101-5397,Petro & Química,B5
1980-6310,"Petróleo, Royalties e Região",B5
1474-905X,Photochemical & Photobiological Sciences (Print),B1
1549-5418,Photomedicine and Laser Surgery,B1
1557-8550,Photomedicine and Laser Surgery (Online),B1
1862-6300,"Physica Status Solidi. A, Applications and Materials Science (Print)",B1
0378-4371,Physica. A (Print),A2
1550-2376,"Physical Review E (Statistical, Nonlinear, and Soft Matter Physics)",B2
0031-9007,Physical Review Letters (Print),A1
1050-2947,Physical Review. A,A1
1098-0121,"Physical Review. B, Condensed Matter and Materials Physics",A1
1550-2368,"Physical Review. D. Particles, Fields, Gravitation, and Cosmology (Online)",B2
1539-3755,"Physical Review. E, Statistical, Nonlinear, and Soft Matter Physics (Print)",A2
0375-9601,Physics Letters. A (Print),A2
0370-2693,Physics Letters. B (Print),A1
1875-3892,Physics Procedia,B2
1070-6631,Physics of Fluids (1994),A2
1070-664X,Physics of Plasmas,A2
0378-2697,Plant Systematics and Evolution,B1
1009-0630,Plasma Science & Technology,B2
1557-1955,"Plasmonics (Norwell, Mass.)",B1
1932-6203,Plos One,A1
1808-3528,Plástico Industrial,B5
2316-932X,"Podium: sport, leisure and tourism review",B5
0170-0839,Polymer Bulletin (Berlin. Print),B1
0272-8397,Polymer Composites,B1
1548-0569,Polymer Composites,B1
0032-3888,Polymer Engineering and Science,B1
0142-9418,Polymer Testing,A2
1676-0727,Polêm!ca,B5
0104-1428,Polímeros (São Carlos. Impresso),B1
1678-5169,Polímeros (São Carlos. Online),B1
2175-7984,Política & Sociedade (Online),B5
1518-7446,Política Democrática,B5
0032-5899,Powder Metallurgy,B1
0032-5910,Powder Technology (Print),A2
1517-0306,Principia (João Pessoa),B5
2212-8271,Procedia CIRP,C 
1877-0509,Procedia Computer Science,C 
1877-7058,Procedia Engineering,B2
1877-0428,Procedia: Social and Behavioral Sciences,C 
1540-7489,Proceedings of the Combustion Institute,A1
0965-089X,Proceedings of the Institution of Civil Engineers. Civil Engineering,B2
0954-4054,"Proceedings of the Institution of Mechanical Engineers. Part B, Journal of Engineering Manufacture",B1
1748-006X,"Proceedings of the Institution of Mechanical Engineers. Part O, Journal of risk and reliability (Print)",B1
1066-8527,Process Safety Progress,B1
0957-5820,Process Safety and Environmental Protection,B1
1676-4056,Product (IGDP),B4
1516-3660,Produto & Produção (Impresso),B4
1983-8026,Produto & Produção (Online),B4
1983-8025,Produto e Produção,B5
0103-6513,Produção (São Paulo. Impresso),B2
0149-1970,Progress in Nuclear Energy (New Series),B1
0300-9440,Progress in Organic Coatings (Print),A2
1980-3923,Proteção (Novo Hamburgo),B5
1434-4610,Protist (Jena. Print),A2
1676-8477,"Publicatio UEPG. Ciências Exatas e da Terra, Ciências Agrárias e Engenharias (Impresso)",B5
1677-4280,Qualit@s (UEPB),B5
0033-5177,Quality and Quantity,B1
0748-8017,Quality and Reliability Engineering International (Print),B1
0033-5614,Quarterly Journal of Mechanics and Applied Mathematics,B1
1040-6182,Quaternary International,B1
2175-2699,Quimica Nova na Escola,B4
0100-4042,Química Nova (Impresso),B1
1678-7064,Química Nova (Online),B1
1415-6555,RAC. Revista de Administração Contemporânea (Impresso),B4
1982-7849,RAC. Revista de Administração Contemporânea (Online),B4
1678-6483,"RACE : Revista de Administração, Contabilidade e Economia",B5
0034-7590,RAE (Impresso),B2
1809-2039,RAI : Revista de Administração e Inovação,B4
0100-3984,RB. Radiologia Brasileira (Impresso),B3
1808-0936,RBC. Revista Brasileira de Cartografia (Online),B4
1676-8000,RBEE. Revista Brasileira de Economia de Empresas,B4
1806-8405,RBPG. Revista Brasileira de Pós-Graduação,B4
1677-7387,RECADM : Revista Eletrônica de Ciência Administrativa,B5
1579-1513,REEC. Revista Electrónica de Enseñanza de las Ciencias,B4
2177-8736,REGE Revista de Gestao,B5
0370-4467,REM. Revista Escola de Minas (Impresso),B2
2175-5620,REVISTA  DE CIÊNCIAS EXATAS E NATURAIS,B5
1983-6635,RGO. Revista Gestão Organizacional (Online),B5
1981-982X,RGSA: Revista de Gestão Social e Ambiental,B4
0969-806X,Radiation Physics and Chemistry (1993),B1
1355-2546,Rapid Prototyping Journal,B1
1381-5148,Reactive & Functional Polymers (Print),A1
1874-4796,Recent Patents on Computer Science,B2
1436-3798,Regional Environmental Change (Print),B1
1678-2399,Relatórios de Pesquisa em Engenharia de Produção (UFF),B5
0951-8320,Reliability Engineering & Systems Safety,A1
1364-0321,Renewable & Sustainable Energy Reviews,A1
0960-1481,Renewable Energy,A2
1543-8627,Research in Sports Medicine (Print),B1
0921-3449,"Resources, Conservation and Recycling",A2
2237-3667,"Reunir: Revista de Administracao, Ciencias Contabeis e Sustentabilidade",B5
1606-5131,Reviews on Advanced Materials Science (Print),B1
1983-6791,Revista ADMpg (Impresso),B5
1983-7089,Revista ADMpg (Online),B5
0718-378X,Revista AIDIS de Ingeniería y Ciencias Ambientales,B4
1980-1599,Revista Abende,B5
1983-716X,Revista Alcance (Online),B4
1980-993X,Revista Ambiente & Água,B5
1413-3482,Revista Brasileira de Atividade Física e Saúde,B5
1983-0823,Revista Brasileira de Biometria,B5
1415-8426,Revista Brasileira de Cineantropometria & Desempenho Humano (Impresso),B2
0102-7638,Revista Brasileira de Cirurgia Cardiovascular (Impresso),B2
1516-635X,Revista Brasileira de Ciência Avícola / Brazilian Journal of Poultry Science,B2
0100-0683,Revista Brasileira de Ciência do Solo (Impresso),B1
1808-4524,Revista Brasileira de Ciências Ambientais,B5
2176-6649,Revista Brasileira de Computação Aplicada,B5
1983-9391,Revista Brasileira de Ecoturismo,B4
0104-303X,Revista Brasileira de Energia,B4
1517-3151,Revista Brasileira de Engenharia Biomédica (Impresso),B3
0102-9843,Revista Brasileira de Engenharia Química,B5
1982-873X,Revista Brasileira de Ensino de Ciência e Tecnologia,B5
0102-3098,Revista Brasileira de Estudos de População (Impresso),B2
1677-8510,Revista Brasileira de Fisiologia do Exercício,B5
0100-2945,Revista Brasileira de Fruticultura (Impresso),B1
0102-261X,Revista Brasileira de Geofísica (Impresso),B3
2236-5664,Revista Brasileira de Geomorfologia,B5
1809-9823,Revista Brasileira de Geriatria e Gerontologia (UnATI. Impresso),B4
1806-4892,Revista Brasileira de Gestão de Negócios (São Paulo. Impresso),B2
1809-239X,Revista Brasileira de Gestão e Desenvolvimento Regional,B3
2237-1664,Revista Brasileira de Gestão e Engenharia,B5
1677-2504,Revista Brasileira de Inovação,B4
0102-7786,Revista Brasileira de Meteorologia (Impresso),B4
1982-6125,Revista Brasileira de Pesquisa em Turismo,B5
1517-8595,Revista Brasileira de Produtos Agroindustriais,B5
2175-0858,Revista Brasileira de Qualidade de Vida,B4
1414-301X,Revista Brasileira de Recursos Hídircos,B4
1980-2013,Revista Brasileira de Risco e Seguro (Impresso),B4
1981-3686,Revista Brasileira de Tecnologia Agroindustrial,B5
1806-9290,Revista Brasileira de Zootecnia (Online),B2
0101-0794,Revista C & I. Controle & Instrumentação,B5
1982-0216,Revista CEFAC (Online),B5
1517-8021,Revista CREA RJ,B5
1517-6363,Revista Ceciliana,B5
1794-8347,Revista Ciencias Estrategicas,B5
1677-0293,Revista Científica Eletrônica de Agronomia,B5
1980-7813,Revista Científica da Faculdade de Medicina de Campos,B5
2238-1899,Revista Científica e-Locução,B5
2236-6733,Revista Ciência e Tecnologia,B5
1414-0896,Revista Ciências Administrativas (UNIFOR),B4
1516-2893,Revista Ciências Exatas,B5
1677-5090,Revista Ciências Médicas e Biológicas,B5
2236-3785,Revista Ciências em Saúde,B5
0120-1751,Revista Colombiana de Estadistica,B2
1808-057X,Revista Contabilidade & Finanças (Online),B5
2175-8069,Revista Contemporânea de Contabilidade,B4
0101-6040,Revista DAE,B5
1806-0013,Revista Dor,B4
0100-4956,Revista Econômica do Nordeste,B5
2175-1846,Revista Eletrônica Científica Inovação e Tecnologia,B5
2236-2150,Revista Eletrônica Debates em Educação Científica e Tecnológica,B5
1983-9952,Revista Eletrônica Produção & Engenharia,B5
1984-3372,Revista Eletrônica de Estratégia & Negócios,B4
2316-6681,Revista Eletrônica de Petróleo e Gás,B5
2236-1170,"Revista Eletrônica em Gestão, Educação e Tecnologia Ambiental",B5
1515-3983,Revista Espacios,B5
1519-6186,Revista Espaço Acadêmico (UEM),B5
0104-7043,Revista FAEEBA,B5
2237-8847,Revista FATESF,B5
1806-6356,Revista FSA (Faculdade Santo Agostinho),B4
0120-6230,Revista Facultad de Ingeniería Universidad de Antioquia,B2
1413-2966,Revista Fluminense de Odontologia,B5
2237-0722,"Revista GEINTEC: gestao, inovacao e tecnologias",B5
2358-0216,Revista GESTO,B5
